Timestamp,Temperature (Celsius),Humidity (%),CO2 Concentration (ppm),Hive Frequency,Health Status
2024-03-18 04:00:00,32.56,51.64,391.08,145.37,Healthy
2024-04-16 05:00:00,30.66,51.49,408.24,157.18,Healthy
2024-04-09 05:00:00,36.58,74.7,528.88,232.79,Unhealthy
2024-03-19 12:00:00,10.28,45.14,749.49,196.97,Unhealthy
2024-04-07 08:00:00,36.51,60.61,687.14,244.77,Unhealthy
2024-03-16 22:00:00,26.55,42.59,461.62,191.11,Unhealthy
2024-03-24 09:00:00,32.5,52.11,415.32,157.66,Healthy
2024-03-29 01:00:00,25.95,38.04,702.75,151.9,Unhealthy
2024-04-06 14:00:00,34.79,51.74,396.69,147.45,Healthy
2024-04-04 05:00:00,36.13,61.3,762.16,207.94,Unhealthy
2024-03-13 01:00:00,18.45,34.61,583.15,147.87,Unhealthy
2024-04-19 11:00:00,37.23,69.98,626.68,205.53,Unhealthy
2024-04-13 15:00:00,39.98,64.03,537.85,153.51,Unhealthy
2024-04-19 11:00:00,31.04,54.96,420.29,149.26,Healthy
2024-03-30 16:00:00,39.67,79.11,606.91,176.93,Unhealthy
2024-03-13 23:00:00,29.13,52.24,402.12,153.71,Healthy
2024-03-29 15:00:00,15.03,43.84,752.24,212.52,Unhealthy
2024-03-28 05:00:00,26.22,41.36,571.55,159.92,Unhealthy
2024-03-25 07:00:00,34.14,52.58,415.86,145.6,Healthy
2024-03-25 19:00:00,26.66,46.49,571.06,174.07,Unhealthy
2024-03-11 14:00:00,20.7,49.86,747.49,213.47,Unhealthy
2024-04-09 19:00:00,33.56,58.02,407.43,151.81,Healthy
2024-03-22 20:00:00,34.68,59.76,439.43,144.96,Healthy
2024-04-04 07:00:00,37.47,79.16,768.48,269.62,Unhealthy
2024-04-11 03:00:00,30.81,56.14,401.82,144.89,Healthy
2024-03-24 16:00:00,29.37,51.8,410.59,147.04,Healthy
2024-04-12 11:00:00,36.74,67.7,574.96,197.52,Unhealthy
2024-03-12 05:00:00,34.91,52.87,409.81,143.37,Healthy
2024-04-14 01:00:00,31.3,54.61,392.34,154.15,Healthy
2024-03-29 11:00:00,21.23,30.11,502.08,174.52,Unhealthy
2024-04-01 11:00:00,37.08,64.32,784.29,232.52,Unhealthy
2024-04-07 03:00:00,37.18,70.1,658.3,214.71,Unhealthy
2024-03-29 02:00:00,19.45,36.51,636.69,178.95,Unhealthy
2024-04-11 14:00:00,38.51,61.52,793.41,206.68,Unhealthy
2024-03-29 06:00:00,34.79,57.98,397.49,154.76,Healthy
2024-03-21 01:00:00,30.37,57.02,411.71,152.32,Healthy
2024-04-05 07:00:00,38.43,76.54,625.14,172.75,Unhealthy
2024-04-01 12:00:00,35.76,72.26,632.9,197.51,Unhealthy
2024-04-08 17:00:00,35.9,72.34,619.43,202.54,Unhealthy
2024-03-18 02:00:00,31.84,54.26,435.24,144.93,Healthy
2024-03-21 17:00:00,29.51,51.05,392.2,142.97,Healthy
2024-04-15 04:00:00,39.02,63.29,474.15,171.59,Unhealthy
2024-04-13 01:00:00,35.96,74.99,551.11,200.08,Unhealthy
2024-04-05 11:00:00,31.76,53.03,412.12,145.7,Healthy
2024-03-19 01:00:00,18.82,30.62,748.29,204.47,Unhealthy
2024-03-30 06:00:00,36.62,60.61,650.74,176.85,Unhealthy
2024-04-17 03:00:00,39.19,71.27,681.35,210.9,Unhealthy
2024-04-16 12:00:00,30.06,58.86,434.51,145.61,Healthy
2024-04-19 17:00:00,32.13,51.35,413.79,156.15,Healthy
2024-03-27 05:00:00,28.82,58.68,443.3,152.4,Healthy
2024-03-24 18:00:00,11.8,49.33,678.3,219.08,Unhealthy
2024-03-19 07:00:00,29.24,51.86,404.37,149.68,Healthy
2024-04-14 23:00:00,29.55,55.65,401.17,149.8,Healthy
2024-04-04 04:00:00,29.29,54.65,437.34,140.44,Healthy
2024-03-20 00:00:00,34.55,52.01,421.05,146.98,Healthy
2024-04-03 19:00:00,33.6,56.51,390.23,146.96,Healthy
2024-04-01 00:00:00,32.33,59.63,395.32,152.54,Healthy
2024-04-10 11:00:00,33.93,57.85,406.48,146.94,Healthy
2024-03-26 19:00:00,23.47,48.58,585.8,176.07,Unhealthy
2024-03-11 01:00:00,18.86,45.74,646.43,161.41,Unhealthy
2024-04-11 05:00:00,39.74,70.42,798.19,201.97,Unhealthy
2024-04-09 23:00:00,33.52,55.48,393.73,140.65,Healthy
2024-03-25 06:00:00,32.4,59.69,445.0,152.81,Healthy
2024-03-13 15:00:00,19.1,48.46,693.56,165.68,Unhealthy
2024-04-18 21:00:00,29.5,55.18,434.07,151.29,Healthy
2024-03-24 00:00:00,32.61,54.39,426.75,160.06,Healthy
2024-04-03 13:00:00,37.36,70.43,628.9,262.42,Unhealthy
2024-04-12 17:00:00,39.61,70.65,746.81,187.43,Unhealthy
2024-03-10 20:00:00,15.45,36.76,489.93,175.39,Unhealthy
2024-03-13 19:00:00,23.52,45.09,767.15,184.79,Unhealthy
2024-03-29 22:00:00,31.25,56.03,420.68,151.08,Healthy
2024-03-25 17:00:00,33.43,55.2,398.56,152.79,Healthy
2024-04-01 02:00:00,35.66,76.14,477.18,147.48,Unhealthy
2024-03-28 16:00:00,34.74,59.99,427.24,159.16,Healthy
2024-04-15 06:00:00,32.57,50.09,420.42,155.04,Healthy
2024-03-17 09:00:00,21.33,42.36,646.15,173.83,Unhealthy
2024-03-24 14:00:00,34.73,57.16,397.38,153.13,Healthy
2024-04-15 13:00:00,37.05,64.16,679.13,241.76,Unhealthy
2024-04-14 17:00:00,37.1,76.83,596.81,230.86,Unhealthy
2024-04-09 08:00:00,29.63,54.16,427.34,145.68,Healthy
2024-03-31 09:00:00,34.05,55.39,449.87,149.06,Healthy
2024-04-11 18:00:00,32.03,53.53,446.62,135.47,Healthy
2024-03-18 15:00:00,16.58,48.78,534.66,179.0,Unhealthy
2024-04-19 02:00:00,37.53,77.47,696.29,177.24,Unhealthy
2024-04-16 01:00:00,39.47,64.13,469.12,214.44,Unhealthy
2024-04-07 11:00:00,37.46,71.04,720.52,245.92,Unhealthy
2024-04-01 00:00:00,38.13,79.26,481.01,225.25,Unhealthy
2024-03-22 09:00:00,27.23,46.26,695.79,161.03,Unhealthy
2024-03-22 02:00:00,31.61,57.14,395.23,144.54,Healthy
2024-04-06 02:00:00,36.31,64.25,497.81,164.42,Unhealthy
2024-04-14 06:00:00,31.67,51.77,447.03,158.34,Healthy
2024-04-01 22:00:00,37.02,73.38,531.33,204.73,Unhealthy
2024-03-31 10:00:00,33.69,53.11,430.61,138.81,Healthy
2024-04-05 14:00:00,31.02,50.88,436.05,152.78,Healthy
2024-03-20 03:00:00,11.74,41.58,602.11,205.5,Unhealthy
2024-03-19 01:00:00,31.45,50.31,441.14,156.12,Healthy
2024-03-14 08:00:00,33.65,58.89,438.22,155.36,Healthy
2024-04-07 09:00:00,37.95,62.79,559.15,199.91,Unhealthy
2024-04-17 21:00:00,32.18,54.34,445.98,155.69,Healthy
2024-04-04 01:00:00,29.94,56.62,406.22,147.15,Healthy
2024-03-16 18:00:00,26.77,45.14,692.95,221.13,Unhealthy
2024-03-22 03:00:00,30.26,58.02,427.02,154.45,Healthy
2024-03-14 23:00:00,30.26,50.76,443.42,154.3,Healthy
2024-04-01 10:00:00,34.14,52.28,394.34,142.41,Healthy
2024-04-06 09:00:00,37.67,76.14,519.73,244.62,Unhealthy
2024-04-02 15:00:00,30.3,54.97,416.96,154.78,Healthy
2024-04-05 00:00:00,35.2,70.85,554.32,255.49,Unhealthy
2024-04-06 06:00:00,29.21,53.81,428.69,156.0,Healthy
2024-04-13 02:00:00,31.49,58.12,413.87,146.1,Healthy
2024-03-13 21:00:00,28.54,51.54,449.01,152.36,Healthy
2024-03-16 04:00:00,11.62,33.2,614.95,177.49,Unhealthy
2024-04-18 07:00:00,38.72,75.73,732.47,209.99,Unhealthy
2024-03-28 16:00:00,27.22,49.89,667.23,216.65,Unhealthy
2024-04-08 16:00:00,36.09,76.3,536.31,217.02,Unhealthy
2024-03-19 10:00:00,26.38,45.34,653.98,179.14,Unhealthy
2024-03-18 03:00:00,32.84,54.51,438.29,150.43,Healthy
2024-04-10 07:00:00,39.4,69.57,534.66,187.33,Unhealthy
2024-03-14 08:00:00,24.45,47.69,731.26,201.46,Unhealthy
2024-04-06 15:00:00,34.06,56.95,420.95,150.17,Healthy
2024-04-17 22:00:00,38.04,61.86,739.63,220.16,Unhealthy
2024-04-13 06:00:00,37.94,78.57,716.35,236.79,Unhealthy
2024-03-26 11:00:00,34.65,51.12,398.43,145.98,Healthy
2024-03-22 20:00:00,27.09,49.42,738.33,159.83,Unhealthy
2024-04-10 22:00:00,29.76,54.61,448.87,141.34,Healthy
2024-03-23 17:00:00,21.02,38.47,684.0,208.63,Unhealthy
2024-04-14 18:00:00,28.18,57.33,436.82,151.42,Healthy
2024-04-05 12:00:00,37.98,65.34,579.43,197.59,Unhealthy
2024-03-20 22:00:00,22.57,32.84,671.94,171.14,Unhealthy
2024-04-11 01:00:00,34.36,58.95,404.52,152.22,Healthy
2024-04-12 10:00:00,35.37,72.53,453.16,207.1,Unhealthy
2024-03-17 14:00:00,25.88,44.92,641.33,200.43,Unhealthy
2024-04-11 23:00:00,34.48,51.85,399.7,150.55,Healthy
2024-04-08 00:00:00,31.3,57.81,410.89,149.53,Healthy
2024-04-19 14:00:00,39.02,75.33,512.74,231.18,Unhealthy
2024-04-05 19:00:00,37.9,69.0,680.07,195.87,Unhealthy
2024-03-17 06:00:00,11.67,31.34,541.1,165.81,Unhealthy
2024-03-18 17:00:00,14.37,42.71,614.07,157.76,Unhealthy
2024-04-03 10:00:00,29.24,52.27,434.92,152.33,Healthy
2024-03-20 14:00:00,33.67,56.95,396.25,153.52,Healthy
2024-03-25 08:00:00,23.16,43.07,561.6,219.74,Unhealthy
2024-03-18 23:00:00,31.52,52.3,392.89,151.95,Healthy
2024-03-11 09:00:00,29.29,50.21,394.9,150.35,Healthy
2024-03-28 14:00:00,33.22,51.07,427.4,158.69,Healthy
2024-03-13 17:00:00,14.46,33.46,560.87,209.74,Unhealthy
2024-04-13 23:00:00,29.33,52.52,420.36,146.62,Healthy
2024-04-07 05:00:00,29.7,51.46,417.85,151.12,Healthy
2024-04-01 07:00:00,39.28,72.07,488.85,197.27,Unhealthy
2024-04-14 16:00:00,38.26,70.17,762.4,251.12,Unhealthy
2024-03-31 06:00:00,30.9,52.85,402.64,145.32,Healthy
2024-03-16 13:00:00,29.59,52.6,441.34,148.43,Healthy
2024-04-08 08:00:00,34.57,51.42,443.91,143.65,Healthy
2024-03-26 14:00:00,32.42,55.31,420.33,151.27,Healthy
2024-03-19 05:00:00,28.17,54.73,401.12,148.99,Healthy
2024-03-29 00:00:00,10.77,47.48,768.31,179.02,Unhealthy
2024-03-23 07:00:00,10.73,42.94,584.34,186.32,Unhealthy
2024-03-11 23:00:00,16.39,38.31,610.73,161.65,Unhealthy
2024-03-10 07:00:00,30.56,59.71,393.14,152.51,Healthy
2024-04-10 06:00:00,38.84,74.77,635.38,204.17,Unhealthy
2024-03-11 23:00:00,30.5,54.18,417.55,145.41,Healthy
2024-03-21 09:00:00,32.14,50.79,401.77,151.99,Healthy
2024-03-17 04:00:00,31.71,53.01,437.31,143.77,Healthy
2024-04-07 13:00:00,28.36,54.32,448.56,146.45,Healthy
2024-04-12 06:00:00,39.36,61.74,647.78,175.37,Unhealthy
2024-03-15 01:00:00,22.58,39.85,706.02,179.09,Unhealthy
2024-03-24 02:00:00,28.49,54.87,433.44,151.25,Healthy
2024-03-26 16:00:00,30.05,50.39,413.05,149.83,Healthy
2024-03-19 13:00:00,26.62,42.46,632.51,135.06,Unhealthy
2024-04-17 02:00:00,28.98,55.8,425.44,145.69,Healthy
2024-03-17 12:00:00,33.08,59.73,417.62,143.11,Healthy
2024-04-02 11:00:00,29.81,55.47,428.87,154.93,Healthy
2024-03-14 22:00:00,26.88,43.6,701.77,169.01,Unhealthy
2024-04-12 05:00:00,39.61,60.52,506.94,189.16,Unhealthy
2024-04-17 06:00:00,35.94,73.56,698.26,163.16,Unhealthy
2024-03-27 09:00:00,28.71,56.67,407.3,144.79,Healthy
2024-03-13 12:00:00,28.22,50.58,444.91,145.42,Healthy
2024-04-05 14:00:00,37.22,61.84,718.65,226.7,Unhealthy
2024-03-25 18:00:00,30.39,53.37,443.41,137.35,Healthy
2024-04-17 10:00:00,35.68,70.02,783.28,191.17,Unhealthy
2024-03-18 12:00:00,32.6,59.51,432.22,150.19,Healthy
2024-04-06 11:00:00,39.91,66.16,550.59,198.34,Unhealthy
2024-03-30 01:00:00,11.39,39.22,752.95,163.25,Unhealthy
2024-04-11 00:00:00,35.99,73.22,748.82,211.24,Unhealthy
2024-03-23 16:00:00,30.79,57.43,446.5,151.67,Healthy
2024-03-10 11:00:00,19.2,46.81,793.45,153.48,Unhealthy
2024-04-15 08:00:00,28.7,57.26,438.65,150.92,Healthy
2024-03-23 22:00:00,19.01,47.25,672.63,187.74,Unhealthy
2024-04-01 08:00:00,31.86,58.19,438.49,147.15,Healthy
2024-04-09 07:00:00,31.52,50.11,398.45,152.1,Healthy
2024-03-31 21:00:00,38.07,62.23,718.14,146.08,Unhealthy
2024-03-31 18:00:00,31.15,51.81,435.21,148.07,Healthy
2024-04-16 02:00:00,33.72,59.58,448.38,145.59,Healthy
2024-03-25 18:00:00,16.1,36.71,761.53,129.41,Unhealthy
2024-03-14 03:00:00,34.1,55.8,399.13,154.44,Healthy
2024-04-12 21:00:00,31.17,52.93,391.75,152.58,Healthy
2024-04-17 09:00:00,39.58,76.52,654.32,203.65,Unhealthy
2024-04-12 00:00:00,31.16,51.74,418.61,156.64,Healthy
2024-03-22 06:00:00,17.86,31.59,627.59,156.49,Unhealthy
2024-03-09 12:00:00,12.79,46.05,545.18,204.24,Unhealthy
2024-03-22 01:00:00,34.83,58.71,413.82,154.27,Healthy
2024-03-13 12:00:00,10.56,31.15,770.28,161.68,Unhealthy
2024-03-29 07:00:00,31.66,54.36,437.65,148.17,Healthy
2024-03-26 23:00:00,18.85,32.95,610.48,149.03,Unhealthy
2024-03-12 11:00:00,23.05,38.51,754.7,190.29,Unhealthy
2024-04-02 02:00:00,31.6,55.87,414.31,146.41,Healthy
2024-04-04 02:00:00,33.64,55.58,440.56,140.9,Healthy
2024-04-15 17:00:00,39.49,63.84,548.87,188.01,Unhealthy
2024-03-20 09:00:00,23.26,31.44,670.96,193.37,Unhealthy
2024-03-12 14:00:00,30.51,52.18,449.1,155.62,Healthy
2024-04-16 07:00:00,36.41,77.55,450.52,211.38,Unhealthy
2024-03-10 16:00:00,28.46,52.3,417.84,151.72,Healthy
2024-03-31 17:00:00,36.31,73.65,500.0,251.65,Unhealthy
2024-03-10 17:00:00,26.99,32.4,790.2,179.03,Unhealthy
2024-04-01 18:00:00,35.77,75.63,467.58,188.07,Unhealthy
2024-03-23 23:00:00,34.0,55.79,444.8,155.45,Healthy
2024-03-16 03:00:00,31.75,57.44,440.49,148.73,Healthy
2024-03-17 19:00:00,34.29,53.24,392.52,151.95,Healthy
2024-03-11 13:00:00,26.02,45.9,780.99,174.57,Unhealthy
2024-03-24 12:00:00,26.85,44.59,652.02,187.35,Unhealthy
2024-04-18 14:00:00,38.62,63.77,704.47,208.38,Unhealthy
2024-03-29 23:00:00,30.47,56.68,419.54,144.51,Healthy
2024-04-04 08:00:00,38.13,63.59,582.06,237.34,Unhealthy
2024-04-18 13:00:00,36.84,71.8,695.41,222.49,Unhealthy
2024-04-18 10:00:00,36.3,76.81,567.46,272.58,Unhealthy
2024-04-03 18:00:00,28.28,58.8,440.36,145.88,Healthy
2024-03-27 08:00:00,32.33,54.89,449.04,143.98,Healthy
2024-03-29 19:00:00,21.1,37.43,521.13,149.67,Unhealthy
2024-03-18 10:00:00,32.55,56.55,442.37,154.29,Healthy
2024-04-17 02:00:00,35.78,71.64,656.72,184.15,Unhealthy
2024-03-28 17:00:00,16.71,30.96,520.46,196.28,Unhealthy
2024-04-04 14:00:00,32.99,57.56,427.96,151.32,Healthy
2024-03-25 05:00:00,22.47,37.78,750.15,213.7,Unhealthy
2024-03-21 21:00:00,19.51,48.63,650.22,210.39,Unhealthy
2024-03-11 19:00:00,30.28,56.28,422.73,144.26,Healthy
2024-03-21 18:00:00,32.36,56.36,396.48,150.08,Healthy
2024-04-07 22:00:00,38.83,63.13,720.6,219.52,Unhealthy
2024-03-12 09:00:00,33.71,50.18,442.67,149.78,Healthy
2024-03-16 02:00:00,32.43,53.35,411.14,152.74,Healthy
2024-03-20 18:00:00,19.15,39.56,782.69,188.2,Unhealthy
2024-04-03 01:00:00,36.79,62.17,632.06,204.28,Unhealthy
2024-03-27 09:00:00,11.81,43.27,550.94,159.16,Unhealthy
2024-04-03 20:00:00,38.18,70.71,536.39,194.13,Unhealthy
2024-04-02 23:00:00,32.49,59.91,438.24,147.67,Healthy
2024-03-22 12:00:00,30.86,55.26,406.48,154.24,Healthy
2024-03-11 05:00:00,32.64,56.16,433.37,142.75,Healthy
2024-04-08 07:00:00,38.68,64.86,458.26,230.78,Unhealthy
2024-04-12 23:00:00,37.32,72.08,681.85,225.66,Unhealthy
2024-03-27 03:00:00,34.21,59.52,447.36,148.79,Healthy
2024-04-02 13:00:00,34.86,53.91,443.32,147.72,Healthy
2024-03-12 12:00:00,33.4,53.84,404.33,152.86,Healthy
2024-04-16 12:00:00,36.54,77.74,709.66,183.65,Unhealthy
2024-03-26 14:00:00,21.31,40.57,626.91,185.06,Unhealthy
2024-04-10 20:00:00,32.86,50.38,393.0,149.55,Healthy
2024-04-16 15:00:00,35.79,68.31,556.03,229.39,Unhealthy
2024-03-16 13:00:00,14.05,35.17,749.51,173.73,Unhealthy
2024-03-22 15:00:00,14.48,31.2,593.86,192.51,Unhealthy
2024-04-17 09:00:00,34.4,58.25,425.03,148.94,Healthy
2024-03-10 14:00:00,32.25,50.37,401.89,145.18,Healthy
2024-03-13 03:00:00,22.77,42.93,787.57,207.63,Unhealthy
2024-04-03 23:00:00,39.61,73.42,485.66,202.23,Unhealthy
2024-03-18 21:00:00,21.3,38.15,554.97,215.17,Unhealthy
2024-04-18 22:00:00,28.22,52.99,413.06,155.52,Healthy
2024-03-12 20:00:00,15.57,48.8,638.55,184.51,Unhealthy
2024-03-30 18:00:00,28.32,51.96,427.6,152.04,Healthy
2024-04-01 06:00:00,37.65,79.03,572.09,208.63,Unhealthy
2024-04-01 23:00:00,37.24,62.0,548.35,230.06,Unhealthy
2024-04-12 02:00:00,39.93,73.24,536.57,191.8,Unhealthy
2024-04-02 05:00:00,38.15,77.27,616.75,208.07,Unhealthy
2024-03-11 04:00:00,29.81,58.86,441.61,149.58,Healthy
2024-04-06 22:00:00,37.9,78.46,493.53,199.72,Unhealthy
2024-03-16 08:00:00,28.29,50.06,430.57,148.85,Healthy
2024-03-21 23:00:00,32.46,55.41,407.61,155.15,Healthy
2024-04-19 14:00:00,33.6,57.66,400.76,153.53,Healthy
2024-04-01 11:00:00,30.82,52.12,447.31,153.75,Healthy
2024-04-16 20:00:00,37.18,75.9,579.83,182.51,Unhealthy
2024-04-03 15:00:00,30.55,58.0,406.57,148.82,Healthy
2024-04-04 02:00:00,39.05,71.2,744.95,155.38,Unhealthy
2024-04-09 21:00:00,31.73,54.88,443.41,152.86,Healthy
2024-03-27 14:00:00,32.94,52.02,422.48,147.72,Healthy
2024-04-02 14:00:00,31.45,55.94,420.19,145.55,Healthy
2024-03-30 22:00:00,39.94,64.95,690.7,226.04,Unhealthy
2024-03-31 07:00:00,29.91,53.07,447.45,146.66,Healthy
2024-03-23 14:00:00,29.21,58.68,394.81,149.8,Healthy
2024-04-09 00:00:00,37.02,69.05,796.96,208.3,Unhealthy
2024-03-24 15:00:00,34.34,59.09,423.52,154.43,Healthy
2024-03-17 01:00:00,32.62,59.37,446.3,148.52,Healthy
2024-03-14 04:00:00,24.39,31.82,604.11,164.73,Unhealthy
2024-04-09 18:00:00,35.78,79.52,771.12,188.11,Unhealthy
2024-03-27 01:00:00,19.84,49.21,765.03,174.3,Unhealthy
2024-03-21 20:00:00,28.36,50.32,438.16,145.46,Healthy
2024-04-15 23:00:00,37.96,60.8,595.8,241.74,Unhealthy
2024-04-13 00:00:00,28.99,55.82,397.11,144.48,Healthy
2024-03-31 23:00:00,32.7,52.57,426.82,151.08,Healthy
2024-04-03 08:00:00,35.93,63.92,670.35,246.18,Unhealthy
2024-03-23 22:00:00,31.52,58.67,428.17,151.93,Healthy
2024-04-17 04:00:00,39.92,71.26,477.46,145.43,Unhealthy
2024-03-30 14:00:00,38.11,76.28,471.86,194.06,Unhealthy
2024-04-19 02:00:00,31.47,58.73,432.22,144.54,Healthy
2024-03-16 15:00:00,29.22,55.4,440.22,152.41,Healthy
2024-03-29 10:00:00,31.18,55.44,446.64,157.81,Healthy
2024-03-26 12:00:00,27.02,35.37,619.96,197.91,Unhealthy
2024-04-03 18:00:00,35.29,77.61,743.77,185.26,Unhealthy
2024-03-14 11:00:00,28.77,58.1,415.07,143.09,Healthy
2024-04-03 07:00:00,28.29,58.94,398.03,141.85,Healthy
2024-04-11 10:00:00,35.19,60.93,602.95,222.97,Unhealthy
2024-04-09 09:00:00,39.51,69.68,723.46,248.38,Unhealthy
2024-03-25 02:00:00,24.58,37.15,606.25,165.15,Unhealthy
2024-03-17 01:00:00,21.81,48.65,778.41,174.1,Unhealthy
2024-03-29 13:00:00,34.31,53.66,448.86,148.5,Healthy
2024-03-23 03:00:00,33.3,57.19,393.57,148.49,Healthy
2024-04-11 04:00:00,31.23,50.67,447.09,152.37,Healthy
2024-03-17 10:00:00,30.37,50.46,396.66,162.13,Healthy
2024-04-04 21:00:00,29.7,51.52,435.66,150.47,Healthy
2024-03-28 23:00:00,34.79,57.38,447.84,154.23,Healthy
2024-04-08 01:00:00,37.12,69.25,580.11,194.12,Unhealthy
2024-03-22 18:00:00,32.62,58.72,426.47,151.3,Healthy
2024-03-17 12:00:00,22.99,49.37,611.13,152.45,Unhealthy
2024-03-20 10:00:00,32.88,53.92,425.5,146.33,Healthy
2024-03-31 23:00:00,38.39,65.21,664.76,216.46,Unhealthy
2024-04-11 19:00:00,38.07,66.0,786.05,198.76,Unhealthy
2024-03-12 03:00:00,33.62,51.1,405.52,151.7,Healthy
2024-04-09 01:00:00,39.1,63.97,640.57,246.57,Unhealthy
2024-04-03 00:00:00,35.99,62.66,643.38,229.21,Unhealthy
2024-04-01 19:00:00,35.17,65.57,475.52,232.74,Unhealthy
2024-03-29 08:00:00,32.41,58.18,406.55,141.48,Healthy
2024-04-09 20:00:00,38.14,79.2,614.5,171.21,Unhealthy
2024-04-16 08:00:00,38.16,79.93,705.27,182.86,Unhealthy
2024-03-27 16:00:00,11.52,49.3,643.8,191.9,Unhealthy
2024-03-28 12:00:00,12.1,37.84,797.85,177.66,Unhealthy
2024-04-15 07:00:00,29.67,52.47,414.56,143.73,Healthy
2024-03-26 22:00:00,28.64,50.42,435.37,149.12,Healthy
2024-04-06 10:00:00,37.11,75.82,761.58,153.91,Unhealthy
2024-03-28 01:00:00,11.49,43.6,569.86,186.02,Unhealthy
2024-04-10 04:00:00,28.23,51.5,398.06,151.94,Healthy
2024-03-30 23:00:00,29.05,59.27,433.36,156.14,Healthy
2024-03-27 07:00:00,23.63,40.26,739.35,167.0,Unhealthy
2024-04-03 21:00:00,28.57,53.24,434.45,144.72,Healthy
2024-03-31 10:00:00,39.08,66.3,686.89,142.85,Unhealthy
2024-04-10 22:00:00,36.33,69.28,793.42,158.06,Unhealthy
2024-04-05 18:00:00,38.26,68.0,524.2,242.48,Unhealthy
2024-03-28 05:00:00,34.34,55.71,410.84,144.98,Healthy
2024-04-08 18:00:00,29.15,53.06,434.85,156.0,Healthy
2024-03-31 14:00:00,33.38,54.14,434.27,136.26,Healthy
2024-04-18 13:00:00,30.49,55.88,432.07,152.08,Healthy
2024-03-21 04:00:00,20.35,36.5,499.01,214.0,Unhealthy
